<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.04.06	00:00:00	1728.38	1745.45	1727.19	1743.40	378427	0	0
2021.04.07	00:00:00	1743.01	1744.38	1730.66	1737.59	370625	0	0
2021.04.08	00:00:00	1738.12	1758.67	1733.14	1755.49	376509	0	0
2021.04.09	00:00:00	1755.52	1757.32	1731.23	1744.03	397524	0	0
2021.04.12	00:00:00	1743.66	1745.00	1727.43	1732.83	400753	0	0
2021.04.13	00:00:00	1733.06	1749.00	1723.71	1745.38	448937	0	0
2021.04.14	00:00:00	1745.84	1749.37	1732.60	1736.30	416280	0	0
2021.04.15	00:00:00	1736.65	1769.65	1734.34	1763.57	427767	0	0
2021.04.16	00:00:00	1763.50	1783.80	1759.77	1777.03	457758	0	0
2021.04.19	00:00:00	1777.92	1790.05	1766.74	1771.38	476518	0	0
2021.04.20	00:00:00	1770.81	1780.42	1763.64	1778.80	481685	0	0
2021.04.21	00:00:00	1778.35	1797.64	1776.28	1793.67	455640	0	0
2021.04.22	00:00:00	1794.03	1797.88	1777.41	1784.07	474915	0	0
2021.04.23	00:00:00	1783.73	1795.96	1770.01	1776.94	439689	0	0
2021.04.26	00:00:00	1776.04	1783.52	1768.81	1781.31	423598	0	0
2021.04.27	00:00:00	1781.21	1785.56	1773.70	1776.62	418843	0	0
2021.04.28	00:00:00	1776.74	1782.53	1762.61	1781.70	462073	0	0
2021.04.29	00:00:00	1781.85	1789.94	1756.14	1771.90	476688	0	0
2021.04.30	00:00:00	1772.65	1773.66	1764.21	1769.24	473928	0	0
2021.05.03	00:00:00	1767.65	1797.97	1766.04	1792.97	434407	0	0
2021.05.04	00:00:00	1792.09	1799.06	1770.86	1778.72	532842	0	0
2021.05.05	00:00:00	1778.24	1787.99	1770.39	1786.87	424319	0	0
2021.05.06	00:00:00	1787.05	1818.12	1781.97	1814.88	494615	0	0
2021.05.07	00:00:00	1813.98	1843.36	1812.85	1831.24	591248	0	0
2021.05.10	00:00:00	1832.75	1845.46	1829.97	1835.68	605833	0	0
2021.05.11	00:00:00	1836.23	1841.82	1818.04	1837.39	557548	0	0
2021.05.12	00:00:00	1837.28	1843.68	1813.31	1815.43	613210	0	0
2021.05.13	00:00:00	1816.00	1828.78	1808.79	1826.43	574515	0	0
2021.05.14	00:00:00	1826.53	1845.93	1819.77	1843.89	487493	0	0
2021.05.17	00:00:00	1842.59	1868.45	1842.11	1866.85	444170	0	0
2021.05.18	00:00:00	1866.86	1875.01	1863.24	1869.51	450928	0	0
2021.05.19	00:00:00	1869.16	1890.10	1852.18	1869.38	651247	0	0
2021.05.20	00:00:00	1870.39	1883.94	1863.86	1877.03	507241	0	0
2021.05.21	00:00:00	1877.12	1889.36	1870.12	1881.87	460423	0	0
2021.05.24	00:00:00	1881.43	1887.06	1875.26	1880.76	435415	0	0
2021.05.25	00:00:00	1880.90	1900.25	1872.73	1899.12	457264	0	0
2021.05.26	00:00:00	1898.89	1912.75	1890.70	1896.61	471479	0	0
2021.05.27	00:00:00	1896.21	1903.67	1888.24	1896.50	486667	0	0
2021.05.28	00:00:00	1896.80	1905.99	1882.27	1904.18	465536	0	0
2021.05.31	00:00:00	1903.13	1910.62	1902.09	1902.69	225531	0	0
2021.06.01	00:00:00	1906.99	1916.58	1892.38	1900.35	431616	0	0
2021.06.02	00:00:00	1900.02	1909.08	1894.34	1908.26	296464	0	0
2021.06.03	00:00:00	1908.16	1909.64	1865.29	1870.47	399123	0	0
2021.06.04	00:00:00	1871.59	1896.19	1855.88	1891.48	479715	0	0
2021.06.07	00:00:00	1890.16	1900.12	1881.51	1898.98	388468	0	0
2021.06.08	00:00:00	1898.95	1903.70	1883.80	1892.84	396088	0	0
2021.06.09	00:00:00	1892.13	1898.97	1887.30	1888.54	332902	0	0
2021.06.10	00:00:00	1889.06	1899.91	1869.80	1898.42	468334	0	0
2021.06.11	00:00:00	1898.14	1903.02	1874.44	1876.17	415281	0	0
2021.06.14	00:00:00	1877.09	1877.69	1844.81	1866.08	395961	0	0
2021.06.15	00:00:00	1866.54	1869.14	1851.61	1858.73	448236	0	0
2021.06.16	00:00:00	1859.17	1863.65	1803.55	1811.89	474133	0	0
2021.06.17	00:00:00	1813.09	1825.29	1767.25	1773.15	795730	0	0
2021.06.18	00:00:00	1774.18	1797.22	1760.91	1763.92	606493	0	0
2021.06.21	00:00:00	1766.69	1786.55	1766.43	1782.95	666176	0	0
2021.06.22	00:00:00	1783.36	1790.19	1772.43	1778.78	509715	0	0
2021.06.23	00:00:00	1779.30	1794.93	1773.29	1779.00	458257	0	0
2021.06.24	00:00:00	1778.43	1788.01	1772.90	1774.91	432848	0	0
2021.06.25	00:00:00	1775.82	1790.34	1773.69	1781.08	425764	0	0
2021.06.28	00:00:00	1781.48	1785.79	1770.64	1778.11	431291	0	0
2021.06.29	00:00:00	1778.36	1778.97	1750.71	1761.09	497193	0	0
2021.06.30	00:00:00	1761.72	1774.40	1753.36	1770.42	423861	0	0
2021.07.01	00:00:00	1770.19	1782.83	1765.67	1776.71	424357	0	0
2021.07.02	00:00:00	1776.90	1795.06	1774.28	1787.52	454221	0	0
2021.07.05	00:00:00	1787.66	1794.50	1784.48	1790.91	208312	0	0
2021.07.06	00:00:00	1791.50	1815.02	1790.08	1797.11	530890	0	0
2021.07.07	00:00:00	1796.41	1809.79	1793.91	1803.62	487472	0	0
2021.07.08	00:00:00	1803.66	1818.35	1794.33	1802.36	577080	0	0
2021.07.09	00:00:00	1802.87	1812.40	1796.65	1808.26	434787	0	0
2021.07.12	00:00:00	1807.70	1810.88	1791.63	1806.09	397838	0	0
2021.07.13	00:00:00	1806.10	1817.14	1798.68	1807.59	456321	0	0
2021.07.14	00:00:00	1807.61	1829.80	1804.52	1827.39	445473	0	0
2021.07.15	00:00:00	1827.18	1834.03	1820.26	1829.47	462186	0	0
2021.07.16	00:00:00	1829.58	1832.01	1809.05	1811.67	483126	0	0
2021.07.19	00:00:00	1811.43	1817.34	1795.00	1812.74	535182	0	0
2021.07.20	00:00:00	1812.90	1824.99	1805.10	1810.34	471246	0	0
2021.07.21	00:00:00	1810.11	1813.72	1794.76	1803.39	441238	0	0
2021.07.22	00:00:00	1803.66	1808.05	1792.78	1806.60	419482	0	0
2021.07.23	00:00:00	1807.09	1810.32	1789.70	1801.99	375232	0	0
2021.07.26	00:00:00	1802.11	1811.52	1796.38	1797.50	399495	0	0
2021.07.27	00:00:00	1797.76	1805.26	1793.62	1798.90	385768	0	0
2021.07.28	00:00:00	1799.85	1809.83	1792.60	1806.94	379100	0	0
2021.07.29	00:00:00	1806.96	1832.67	1806.92	1827.99	368847	0	0
2021.07.30	00:00:00	1828.35	1831.33	1810.24	1813.99	346351	0	0
2021.08.02	00:00:00	1813.92	1819.54	1805.79	1813.43	374963	0	0
2021.08.03	00:00:00	1813.07	1815.04	1807.11	1810.30	320346	0	0
2021.08.04	00:00:00	1810.25	1831.72	1806.46	1811.87	371393	0	0
2021.08.05	00:00:00	1811.91	1814.87	1797.84	1804.07	357414	0	0
2021.08.06	00:00:00	1804.66	1804.84	1758.70	1763.38	403059	0	0
2021.08.09	00:00:00	1762.82	1764.66	1683.25	1729.51	611645	0	0
2021.08.10	00:00:00	1730.32	1738.29	1717.77	1729.16	407653	0	0
2021.08.11	00:00:00	1729.34	1754.49	1724.11	1751.51	404418	0	0
2021.08.12	00:00:00	1751.12	1758.17	1741.61	1752.63	351295	0	0
2021.08.13	00:00:00	1752.93	1779.99	1751.69	1779.65	314159	0	0
2021.08.16	00:00:00	1779.79	1789.29	1770.81	1787.17	372822	0	0
2021.08.17	00:00:00	1787.31	1795.55	1780.58	1786.00	383082	0	0
2021.08.18	00:00:00	1785.90	1793.79	1777.35	1787.45	403406	0	0
2021.08.19	00:00:00	1787.61	1792.44	1774.50	1779.92	454974	0	0
2021.08.20	00:00:00	1780.23	1788.44	1778.35	1780.89	342585	0	0
2021.08.23	00:00:00	1780.54	1806.44	1776.48	1805.43	370912	0	0
2021.08.24	00:00:00	1805.08	1809.57	1800.73	1802.97	309573	0	0
2021.08.25	00:00:00	1802.65	1802.84	1782.51	1790.45	369308	0	0
2021.08.26	00:00:00	1790.94	1798.20	1780.05	1791.96	390869	0	0
2021.08.27	00:00:00	1792.36	1819.24	1785.47	1818.12	432469	0	0
2021.08.30	00:00:00	1818.60	1823.21	1807.75	1810.24	323487	0	0
2021.08.31	00:00:00	1809.87	1819.16	1801.63	1813.69	427712	0	0
2021.09.01	00:00:00	1814.29	1820.02	1808.68	1814.14	375755	0	0
2021.09.02	00:00:00	1813.77	1817.14	1804.94	1809.49	292913	0	0
2021.09.03	00:00:00	1809.35	1833.98	1808.98	1827.49	376417	0	0
2021.09.06	00:00:00	1828.32	1830.25	1821.42	1823.37	176447	0	0
2021.09.07	00:00:00	1823.80	1827.30	1792.41	1794.26	407652	0	0
2021.09.08	00:00:00	1794.94	1802.18	1782.42	1789.25	396928	0	0
2021.09.09	00:00:00	1789.75	1800.96	1783.89	1794.18	428550	0	0
2021.09.10	00:00:00	1793.90	1803.87	1787.17	1787.42	378946	0	0
2021.09.13	00:00:00	1789.14	1798.35	1783.77	1793.48	359539	0	0
2021.09.14	00:00:00	1793.47	1808.62	1780.50	1804.57	392105	0	0
2021.09.15	00:00:00	1804.36	1806.87	1790.74	1793.60	372020	0	0
2021.09.16	00:00:00	1794.15	1796.16	1745.32	1753.40	480919	0	0
2021.09.17	00:00:00	1753.71	1767.48	1747.39	1754.22	409095	0	0
2021.09.20	00:00:00	1753.77	1766.99	1742.31	1764.21	407098	0	0
2021.09.21	00:00:00	1764.57	1781.72	1757.94	1774.26	371036	0	0
2021.09.22	00:00:00	1774.97	1787.23	1764.69	1768.00	446563	0	0
2021.09.23	00:00:00	1768.41	1776.52	1737.88	1742.38	451116	0	0
2021.09.24	00:00:00	1744.23	1757.65	1740.45	1750.39	376589	0	0
2021.09.27	00:00:00	1748.45	1760.83	1744.85	1750.20	387624	0	0
2021.09.28	00:00:00	1750.35	1754.45	1728.11	1733.89	511595	0	0
2021.09.29	00:00:00	1734.04	1745.51	1721.64	1726.48	440679	0	0
2021.09.30	00:00:00	1726.82	1764.20	1722.22	1757.00	418467	0	0
2021.10.01	00:00:00	1756.34	1764.30	1749.70	1760.69	444148	0	0
2021.10.04	00:00:00	1762.15	1770.54	1747.71	1769.32	432899	0	0
2021.10.05	00:00:00	1769.81	1770.05	1748.63	1759.86	399854	0	0
2021.10.06	00:00:00	1759.30	1765.08	1745.89	1762.61	444281	0	0
2021.10.07	00:00:00	1762.34	1766.94	1751.95	1755.16	378912	0	0
2021.10.08	00:00:00	1756.03	1781.32	1753.34	1756.64	429862	0	0
2021.10.11	00:00:00	1756.92	1760.99	1750.15	1754.26	317699	0	0
2021.10.12	00:00:00	1753.20	1769.34	1750.74	1760.02	415375	0	0
2021.10.13	00:00:00	1759.77	1796.16	1757.89	1792.96	443109	0	0
2021.10.14	00:00:00	1792.47	1800.56	1786.69	1795.94	324461	0	0
2021.10.15	00:00:00	1795.33	1796.45	1764.84	1767.63	402188	0	0
2021.10.18	00:00:00	1766.50	1772.06	1760.28	1764.79	468117	0	0
2021.10.19	00:00:00	1763.59	1785.12	1762.94	1769.45	407524	0	0
2021.10.20	00:00:00	1769.00	1788.41	1766.84	1781.95	371604	0	0
2021.10.21	00:00:00	1781.26	1789.44	1776.49	1782.91	399831	0	0
2021.10.22	00:00:00	1782.34	1813.80	1782.31	1792.29	462710	0	0
2021.10.25	00:00:00	1793.91	1810.04	1792.27	1807.66	269764	0	0
2021.10.26	00:00:00	1807.01	1808.31	1782.38	1792.78	274360	0	0
2021.10.27	00:00:00	1792.76	1799.05	1783.49	1796.91	310821	0	0
2021.10.28	00:00:00	1795.32	1810.45	1792.32	1798.80	452132	0	0
2021.10.29	00:00:00	1799.22	1801.17	1771.93	1783.15	479667	0	0
2021.11.01	00:00:00	1783.12	1795.83	1779.12	1793.17	347620	0	0
2021.11.02	00:00:00	1793.01	1796.40	1786.34	1787.91	355003	0	0
2021.11.03	00:00:00	1787.34	1788.19	1758.80	1769.64	420828	0	0
2021.11.04	00:00:00	1768.81	1798.92	1768.81	1791.62	362332	0	0
2021.11.05	00:00:00	1790.24	1818.29	1785.02	1817.80	427946	0	0
2021.11.08	00:00:00	1818.04	1826.47	1812.42	1824.26	367950	0	0
2021.11.09	00:00:00	1824.20	1832.71	1819.14	1831.82	389613	0	0
2021.11.10	00:00:00	1831.88	1868.52	1822.61	1849.22	446583	0	0
2021.11.11	00:00:00	1848.93	1865.97	1842.90	1861.92	343206	0	0
2021.11.12	00:00:00	1861.45	1868.67	1845.20	1864.62	370090	0	0
2021.11.15	00:00:00	1869.47	1870.34	1856.35	1862.72	425928	0	0
2021.11.16	00:00:00	1862.37	1877.18	1849.67	1850.47	478692	0	0
2021.11.17	00:00:00	1849.57	1868.03	1849.32	1867.31	386618	0	0
2021.11.18	00:00:00	1866.67	1870.92	1855.08	1858.88	384747	0	0
2021.11.19	00:00:00	1858.24	1865.77	1843.00	1846.05	460734	0	0
2021.11.22	00:00:00	1845.82	1849.11	1802.30	1804.83	509583	0	0
2021.11.23	00:00:00	1806.19	1812.43	1781.98	1788.99	488943	0	0
2021.11.24	00:00:00	1788.44	1796.41	1778.53	1788.53	432760	0	0
2021.11.25	00:00:00	1789.36	1795.10	1786.01	1787.95	168626	0	0
2021.11.26	00:00:00	1787.84	1815.54	1780.43	1791.60	533123	0	0
2021.11.29	00:00:00	1788.63	1799.40	1779.48	1784.62	451744	0	0
2021.11.30	00:00:00	1783.41	1808.71	1769.89	1774.83	606930	0	0
2021.12.01	00:00:00	1775.19	1794.65	1772.20	1781.79	526422	0	0
2021.12.02	00:00:00	1781.27	1783.37	1761.90	1768.17	477730	0	0
2021.12.03	00:00:00	1767.96	1786.09	1766.13	1783.60	498859	0	0
2021.12.06	00:00:00	1784.36	1787.73	1775.69	1778.39	353646	0	0
2021.12.07	00:00:00	1778.33	1787.79	1772.21	1784.09	338167	0	0
2021.12.08	00:00:00	1784.03	1793.08	1779.63	1783.05	358388	0	0
2021.12.09	00:00:00	1782.70	1787.62	1773.30	1775.12	337090	0	0
2021.12.10	00:00:00	1775.04	1789.48	1770.12	1782.82	319793	0	0
2021.12.13	00:00:00	1782.58	1791.53	1781.65	1786.57	274277	0	0
2021.12.14	00:00:00	1786.19	1789.50	1766.63	1770.57	104480	0	0
2021.12.15	00:00:00	1770.09	1780.86	1753.06	1777.03	90733	0	0
2021.12.16	00:00:00	1777.35	1799.65	1775.57	1799.18	94090	0	0
2021.12.17	00:00:00	1799.26	1814.25	1795.83	1797.91	90426	0	0
2021.12.20	00:00:00	1799.15	1804.17	1788.31	1790.85	87415	0	0
2021.12.21	00:00:00	1790.08	1800.45	1784.91	1788.91	77449	0	0
2021.12.22	00:00:00	1788.85	1805.03	1785.93	1803.54	73148	0	0
2021.12.23	00:00:00	1804.06	1810.70	1798.88	1808.46	64964	0	0
2021.12.24	00:00:00	1812.49	1812.49	1812.48	1812.49	12	0	0
2021.12.27	00:00:00	1808.57	1813.45	1803.05	1811.88	65343	0	0
2021.12.28	00:00:00	1811.13	1820.20	1805.09	1806.12	66394	0	0
2021.12.29	00:00:00	1805.53	1807.69	1789.47	1804.35	75348	0	0
2021.12.30	00:00:00	1803.94	1817.18	1796.17	1814.68	70972	0	0
2021.12.31	00:00:00	1815.52	1830.31	1814.30	1828.94	64828	0	0
2022.01.03	00:00:00	1828.64	1831.80	1798.40	1801.24	76613	0	0
2022.01.04	00:00:00	1800.83	1816.77	1798.49	1814.53	87793	0	0
2022.01.05	00:00:00	1813.59	1829.64	1808.28	1810.20	83644	0	0
2022.01.06	00:00:00	1810.10	1811.57	1786.43	1790.89	102197	0	0
2022.01.07	00:00:00	1790.83	1798.64	1782.69	1796.82	82744	0	0
2022.01.10	00:00:00	1794.42	1802.35	1790.40	1801.70	86293	0	0
2022.01.11	00:00:00	1801.23	1823.24	1800.10	1821.46	86690	0	0
2022.01.12	00:00:00	1820.98	1828.06	1814.73	1826.11	79942	0	0
2022.01.13	00:00:00	1825.59	1828.15	1812.36	1822.54	83769	0	0
2022.01.14	00:00:00	1822.29	1829.14	1814.70	1817.74	90492	0	0
2022.01.17	00:00:00	1819.08	1823.21	1813.13	1819.17	50078	0	0
2022.01.18	00:00:00	1818.23	1822.76	1805.80	1813.68	99089	0	0
2022.01.19	00:00:00	1812.52	1843.32	1810.26	1840.44	95070	0	0
2022.01.20	00:00:00	1840.02	1847.88	1835.97	1839.47	95495	0	0
2022.01.21	00:00:00	1839.73	1843.20	1828.52	1834.39	102317	0	0
2022.01.24	00:00:00	1834.29	1844.31	1829.68	1842.96	106855	0	0
2022.01.25	00:00:00	1842.26	1853.85	1834.95	1848.00	95605	0	0
2022.01.26	00:00:00	1847.07	1850.07	1814.97	1819.50	94619	0	0
2022.01.27	00:00:00	1819.75	1822.15	1791.79	1797.10	111007	0	0
2022.01.28	00:00:00	1797.80	1799.39	1780.27	1791.68	97422	0	0
2022.01.31	00:00:00	1790.78	1799.89	1785.56	1797.28	84089	0	0
2022.02.01	00:00:00	1796.97	1808.76	1795.76	1801.06	85021	0	0
2022.02.02	00:00:00	1800.62	1810.77	1794.47	1806.78	80002	0	0
2022.02.03	00:00:00	1806.21	1808.96	1788.67	1804.84	85886	0	0
2022.02.04	00:00:00	1804.46	1814.89	1792.18	1808.16	87078	0	0
2022.02.07	00:00:00	1806.70	1823.55	1806.70	1820.46	90822	0	0
2022.02.08	00:00:00	1820.44	1828.78	1815.42	1825.94	78588	0	0
2022.02.09	00:00:00	1825.99	1835.81	1824.69	1832.90	74148	0	0
2022.02.10	00:00:00	1833.03	1841.94	1821.64	1826.63	94202	0	0
2022.02.11	00:00:00	1826.50	1865.47	1821.02	1858.53	112117	0	0
2022.02.14	00:00:00	1861.30	1874.10	1850.82	1871.33	118196	0	0
2022.02.15	00:00:00	1871.08	1879.51	1844.55	1853.49	104099	0	0
2022.02.16	00:00:00	1852.76	1872.55	1850.30	1869.57	86663	0	0
2022.02.17	00:00:00	1869.64	1901.13	1867.83	1898.36	107468	0	0
2022.02.18	00:00:00	1898.09	1902.44	1886.63	1897.31	96088	0	0
2022.02.21	00:00:00	1899.92	1908.27	1887.61	1904.12	77194	0	0
2022.02.22	00:00:00	1908.15	1914.02	1891.47	1898.47	121374	0	0
2022.02.23	00:00:00	1897.67	1910.49	1889.67	1909.01	90921	0	0
2022.02.24	00:00:00	1909.36	1974.37	1878.34	1903.90	154754	0	0
2022.02.25	00:00:00	1904.23	1921.52	1883.15	1888.98	123892	0	0
2022.02.28	00:00:00	1920.40	1928.68	1890.95	1908.85	130160	0	0
2022.03.01	00:00:00	1907.80	1950.18	1901.41	1945.02	122434	0	0
2022.03.02	00:00:00	1943.36	1947.88	1914.01	1928.58	119590	0	0
2022.03.03	00:00:00	1928.78	1941.29	1922.03	1936.27	115275	0	0
2022.03.04	00:00:00	1935.98	1970.71	1929.76	1970.64	135050	0	0
2022.03.07	00:00:00	1973.80	2002.59	1961.07	1997.58	150655	0	0
2022.03.08	00:00:00	1996.52	2070.36	1981.06	2049.73	152025	0	0
2022.03.09	00:00:00	2050.29	2059.17	1976.08	1991.81	145082	0	0
2022.03.10	00:00:00	1988.95	2009.11	1970.83	1996.67	126331	0	0
2022.03.11	00:00:00	1995.58	1999.01	1958.67	1988.32	100790	0	0
2022.03.14	00:00:00	1985.46	1989.92	1949.65	1950.69	100138	0	0
2022.03.15	00:00:00	1951.18	1954.59	1907.09	1917.74	103079	0	0
2022.03.16	00:00:00	1918.61	1929.51	1895.26	1926.12	97898	0	0
2022.03.17	00:00:00	1926.63	1949.75	1923.16	1942.47	93962	0	0
2022.03.18	00:00:00	1942.18	1945.35	1918.07	1920.47	85886	0	0
2022.03.21	00:00:00	1921.80	1941.13	1918.02	1935.89	83409	0	0
2022.03.22	00:00:00	1935.58	1938.38	1910.78	1921.33	88084	0	0
2022.03.23	00:00:00	1920.91	1948.38	1915.55	1944.13	83628	0	0
2022.03.24	00:00:00	1942.43	1965.99	1937.46	1957.72	89229	0	0
2022.03.25	00:00:00	1957.10	1964.32	1943.19	1958.15	89879	0	0
2022.03.28	00:00:00	1956.90	1959.02	1917.03	1922.66	111908	0	0
2022.03.29	00:00:00	1922.24	1929.33	1890.17	1919.39	108024	0	0
2022.03.30	00:00:00	1919.13	1938.52	1915.92	1932.63	95581	0	0
2022.03.31	00:00:00	1932.55	1949.83	1919.17	1937.21	94072	0	0
2022.04.01	00:00:00	1936.49	1939.55	1918.04	1924.46	98102	0	0
2022.04.04	00:00:00	1924.26	1936.88	1915.47	1932.69	83988	0	0
2022.04.05	00:00:00	1932.95	1944.53	1917.95	1923.43	85732	0	0
2022.04.06	00:00:00	1923.73	1933.46	1915.29	1925.22	103242	0	0
2022.04.07	00:00:00	1923.72	1937.79	1920.52	1931.52	94965	0	0
2022.04.08	00:00:00	1930.62	1948.16	1927.72	1947.88	93856	0	0
2022.04.11	00:00:00	1946.40	1969.71	1940.03	1953.63	104994	0	0
2022.04.12	00:00:00	1953.23	1978.58	1949.74	1966.53	101594	0	0
2022.04.13	00:00:00	1966.70	1981.53	1962.85	1978.13	99772	0	0
2022.04.14	00:00:00	1977.90	1980.35	1960.63	1973.43	98204	0	0
2022.04.18	00:00:00	1972.38	1998.34	1970.96	1978.61	95872	0	0
2022.04.19	00:00:00	1977.23	1981.92	1943.77	1950.11	104171	0	0
2022.04.20	00:00:00	1949.63	1958.36	1939.34	1957.48	106845	0	0
2022.04.21	00:00:00	1956.92	1957.46	1936.79	1951.18	104361	0	0
2022.04.22	00:00:00	1951.03	1955.60	1926.58	1931.44	112364	0	0
2022.04.25	00:00:00	1930.82	1934.44	1891.51	1897.92	123466	0	0
2022.04.26	00:00:00	1898.24	1911.20	1895.73	1905.16	113726	0	0
2022.04.27	00:00:00	1905.50	1907.04	1881.39	1885.86	110564	0	0
2022.04.28	00:00:00	1885.69	1896.75	1872.11	1894.53	108369	0	0
2022.04.29	00:00:00	1894.24	1919.93	1892.57	1896.75	109197	0	0
2022.05.02	00:00:00	1896.20	1899.93	1854.63	1862.83	100619	0	0
2022.05.03	00:00:00	1863.39	1878.10	1850.40	1868.20	96332	0	0
2022.05.04	00:00:00	1867.32	1889.79	1861.44	1881.20	91548	0	0
